problem,algorithm,variant,nfe,mean_best,median_best
RW26,GSK,SHAP-CF,6891,101038449.6882017,101038449.6882017
RW26,GSK,SHAP-CF,6903,101030255.14343394,101030255.14343394
RW26,GSK,SHAP-CF,6939,101030255.14343362,101030255.14343362
RW26,GSK,SHAP-CF,7026,101030255.36166967,101030255.36166967
RW26,GSK,SHAP-CF,7159,101030255.14343362,101030255.14343362
RW26,GSK,SHAP-CF,7269,101030255.14343363,101030255.14343363
RW26,GSK,SHAP-CF,7285,101030255.14343362,101030255.14343362
RW26,GSK,SHAP-CF,7299,101030255.14343362,101030255.14343362
RW26,GSK,SHAP-CF,7354,101030255.14343375,101030255.14343375
RW26,GSK,SHAP-CF,7460,101030255.14343362,101030255.14343362
RW26,GSK,SHAP-CF,7619,101030255.1434707,101030255.1434707
RW26,GSK,SHAP-CF,7622,101036429.59046865,101036429.59046865
RW26,GSK,SHAP-CF,7626,101030255.15415297,101030255.15415297
RW26,GSK,SHAP-CF,7705,101030255.14343363,101030255.14343363
RW26,GSK,SHAP-CF,7742,101030255.14343362,101030255.14343362
RW26,GSK,SHAP-CF,7781,101030255.14532554,101030255.14532554
RW26,GSK,SHAP-CF,7883,101031922.27397117,101031922.27397117
RW26,GSK,SHAP-CF,8001,101030255.14345154,101030255.14345154
RW26,GSK,SHAP-CF,8282,101036429.59046844,101036429.59046844
RW26,GSK,SHAP-CF,8463,101030255.14502239,101030255.14502239
RW26,GSK,SHAP-CF,8501,101036377.48489584,101036377.48489584
RW26,GSK,SHAP-CF,8535,101030255.1434338,101030255.1434338
RW26,GSK,SHAP-CF,8631,101030255.14343362,101030255.14343362
RW26,GSK,SHAP-CF,8658,101030295.59652497,101030295.59652497
RW26,GSK,SHAP-CF,8859,101030255.15457323,101030255.15457323
RW26,GSK,SHAP-CF,9123,101030255.14343362,101030255.14343362
RW26,GSK,SHAP-CF,9222,101031795.68526955,101031795.68526955
RW26,GSK,SHAP-CF,9231,101030292.36675346,101030292.36675346
RW26,GSK,SHAP-CF,9235,101030281.63337508,101030281.63337508
RW26,GSK,SHAP-CF,9254,101030255.14432625,101030255.14432625
RW26,GSK,SHAP-CF,9357,101030276.4037934,101030276.4037934
RW26,GSK,SHAP-CF,9367,101030274.92221534,101030274.92221534
RW26,GSK,SHAP-CF,9402,101030272.33990145,101030272.33990145
RW26,GSK,SHAP-CF,9423,101031753.3753014,101031753.3753014
RW26,GSK,SHAP-CF,9432,101030270.36922121,101030270.36922121
RW26,GSK,SHAP-CF,9479,101030255.1492638,101030255.1492638
RW26,GSK,SHAP-CF,9530,101030269.62352362,101030269.62352362
RW26,GSK,SHAP-CF,9532,101030267.57914838,101030267.57914838
RW26,GSK,SHAP-CF,9542,101030266.8298845,101030266.8298845
RW26,GSK,SHAP-CF,9545,101030255.14429799,101030255.14429799
RW26,GSK,SHAP-CF,9549,101030261.80951823,101030261.80951823
RW26,GSK,SHAP-CF,9644,101030255.14345424,101030255.14345424
RW26,GSK,SHAP-CF,9762,101030256.43020676,101030256.43020676
RW26,GSK,SHAP-CF,10033,101030255.14343362,101030255.14343362
RW26,GSK,SHAP-CF,10344,101030255.98693332,101030255.98693332
RW26,GSK,SHAP-CF,10761,101030255.14345147,101030255.14345147
RW26,GSK,SHAP-CF,10817,101030255.14343487,101030255.14343487
RW26,GSK,SHAP-CF,10883,101030255.98473193,101030255.98473193
RW26,GSK,SHAP-CF,10886,101030255.80334856,101030255.80334856
RW26,GSK,SHAP-CF,10942,101030255.50230297,101030255.50230297
RW26,GSK,SHAP-CF,10996,101030255.49185707,101030255.49185707
RW26,GSK,SHAP-CF,11097,101030255.48070002,101030255.48070002
RW26,GSK,SHAP-CF,11100,101030255.20004906,101030255.20004906
RW26,GSK,SHAP-CF,11401,101030255.17238395,101030255.17238395
RW26,GSK,SHAP-CF,11452,101030255.16372447,101030255.16372447
RW26,GSK,SHAP-CF,11513,101030255.15474044,101030255.15474044
RW26,GSK,SHAP-CF,11541,101030255.14905652,101030255.14905652
RW26,GSK,SHAP-CF,11580,101030255.14819944,101030255.14819944
RW26,GSK,SHAP-CF,11642,101030255.14802314,101030255.14802314
RW26,GSK,SHAP-CF,11676,101030255.14634016,101030255.14634016
RW26,GSK,SHAP-CF,11743,101030255.14357015,101030255.14357015
RW26,GSK,SHAP-CF,11977,101030255.14348653,101030255.14348653
RW26,GSK,SHAP-CF,12383,101030625.80979252,101030625.80979252
RW26,GSK,SHAP-CF,12508,101030255.14343412,101030255.14343412
RW26,GSK,SHAP-CF,12509,101030255.14348118,101030255.14348118
RW26,GSK,SHAP-CF,12670,101030255.1434769,101030255.1434769
RW26,GSK,SHAP-CF,12677,101030255.14343402,101030255.14343402
RW26,GSK,SHAP-CF,12900,101030255.14343931,101030255.14343931
RW26,GSK,SHAP-CF,13280,101030255.14345089,101030255.14345089
RW26,GSK,SHAP-CF,13288,101030255.14345017,101030255.14345017
