algorithm,variant,run,nfe,best_fit
GSK,ACME-CF,20,7395,3151.2211926272257
GSK,ACME-CF,20,7741,3149.1055125954017
GSK,ACME-CF,20,7828,3137.556464231193
GSK,ACME-CF,20,9259,3132.1888476520207
GSK,ACME-CF,21,1,441771.55342919327
GSK,ACME-CF,21,2,6138.187321749683
GSK,ACME-CF,21,7,3532.711712423608
GSK,ACME-CF,21,73,3269.3860640563007
GSK,ACME-CF,21,781,3150.2895382367656
GSK,ACME-CF,21,7461,3142.5072273516757
GSK,ACME-CF,22,1,575368.2857545522
GSK,ACME-CF,22,3,249189.0069456963
GSK,ACME-CF,22,4,144935.27455982266
GSK,ACME-CF,22,13,4136.75297307287
GSK,ACME-CF,22,32,3846.6097602017717
GSK,ACME-CF,22,109,3494.2272796569096
GSK,ACME-CF,22,649,3326.9724263292383
GSK,ACME-CF,22,1416,3315.148516795648
GSK,ACME-CF,22,2003,3253.429826366704
GSK,ACME-CF,22,2539,3236.531477445528
GSK,ACME-CF,22,3652,3178.301150808005
GSK,ACME-CF,22,4460,3164.1745942255493
GSK,ACME-CF,22,4608,3155.08052724563
GSK,ACME-CF,22,4616,3135.2042227142083
GSK,ACME-CF,22,4841,3121.4931166882716
GSK,ACME-CF,22,4844,3116.353132738674
GSK,ACME-CF,22,4964,3116.3363001452353
GSK,ACME-CF,22,5787,3104.277303431835
GSK,ACME-CF,22,6031,3102.7727856789793
GSK,ACME-CF,22,6749,3082.424899439931
GSK,ACME-CF,23,1,577815.0271928029
GSK,ACME-CF,23,2,466160.00767344673
GSK,ACME-CF,23,3,19031.741501493965
GSK,ACME-CF,23,20,7297.9663985115285
GSK,ACME-CF,23,29,4271.51924117621
GSK,ACME-CF,23,51,3766.3982012208926
GSK,ACME-CF,23,79,3479.1746806927135
GSK,ACME-CF,23,129,3436.5314735542984
GSK,ACME-CF,23,153,3267.926679203028
GSK,ACME-CF,23,461,3263.073356222435
GSK,ACME-CF,23,2441,3243.7686549443174
GSK,ACME-CF,23,2801,3240.5755988143737
GSK,ACME-CF,23,2821,3229.3780632052317
GSK,ACME-CF,23,3521,3217.8304734407275
GSK,ACME-CF,23,3761,3200.1115090473904
GSK,ACME-CF,23,5562,3190.5422809878983
GSK,ACME-CF,23,6217,3178.44869877862
GSK,ACME-CF,23,6854,3162.5766476871895
GSK,ACME-CF,23,7023,3157.847821966619
GSK,ACME-CF,23,7317,3150.5797181835856
GSK,ACME-CF,23,8081,3146.174448001717
GSK,ACME-CF,23,9244,3142.327949617265
GSK,ACME-CF,23,9428,3134.461834849356
GSK,ACME-CF,23,9928,3134.42540756124
GSK,ACME-CF,24,1,4549.653214342499
GSK,ACME-CF,24,8,4200.3315142301435
GSK,ACME-CF,24,22,3780.7464518068655
GSK,ACME-CF,24,67,3471.129965651579
GSK,ACME-CF,24,323,3370.7176822540523
GSK,ACME-CF,24,443,3370.224773203793
GSK,ACME-CF,24,1393,3353.4968617686786
GSK,ACME-CF,24,1662,3305.00741524794
GSK,ACME-CF,24,2126,3274.930925121708
GSK,ACME-CF,24,3377,3265.575567246004
GSK,ACME-CF,24,3912,3257.277164079326
GSK,ACME-CF,24,4089,3231.2686240442554
GSK,ACME-CF,24,5954,3221.276389703663
GSK,ACME-CF,24,6573,3219.3262355076085
GSK,ACME-CF,24,7181,3213.760937255008
GSK,ACME-CF,24,7487,3203.9257368374006
GSK,ACME-CF,24,9091,3189.5545863040034
GSK,ACME-CF,24,9781,3183.4402703428545
GSK,ACME-CF,24,9917,3169.666555847199
GSK,ACME-CF,25,1,4538.7556460053875
GSK,ACME-CF,25,14,3727.692592278927
GSK,ACME-CF,25,63,3700.332327455923
GSK,ACME-CF,25,114,3675.8506241642503
GSK,ACME-CF,25,205,3610.7310881632393
GSK,ACME-CF,25,346,3564.386042054156
GSK,ACME-CF,25,443,3505.9585571399266
GSK,ACME-CF,25,610,3444.8387045161267
GSK,ACME-CF,25,1601,3430.7796193302393
GSK,ACME-CF,25,1666,3351.2664727345577
GSK,ACME-CF,25,1795,3346.648543303907
GSK,ACME-CF,25,2101,3325.7168787841906
GSK,ACME-CF,25,2485,3321.1110760557694
GSK,ACME-CF,25,2823,3286.7152515265607
GSK,ACME-CF,25,3723,3237.7400517242127
GSK,ACME-CF,25,3908,3234.602277188461
GSK,ACME-CF,25,4261,3216.6268515784595
GSK,ACME-CF,25,5123,3199.1765164356448
GSK,ACME-CF,25,6161,3183.634759350485
GSK,ACME-CF,25,8603,3170.786713514588
GSK,ACME-CF,25,9876,3152.1594728283276
GSK,ACME-CF,26,1,261196.9667241564
GSK,ACME-CF,26,3,5841.554572790181
GSK,ACME-CF,26,16,3972.5285048106066
GSK,ACME-CF,26,50,3615.8817085043543
GSK,ACME-CF,26,93,3604.8304771102626
GSK,ACME-CF,26,766,3445.5834870788767
GSK,ACME-CF,26,806,3445.517189863898
GSK,ACME-CF,26,985,3345.7380967301347
GSK,ACME-CF,26,1467,3325.2932118274534
GSK,ACME-CF,26,1733,3289.9718352586347
GSK,ACME-CF,26,1833,3278.636821505355
GSK,ACME-CF,26,1954,3278.153531135103
GSK,ACME-CF,26,2221,3261.0769527656944
GSK,ACME-CF,26,2594,3238.596969111878
GSK,ACME-CF,26,2941,3229.5474157802555
GSK,ACME-CF,26,3078,3212.299755304438
GSK,ACME-CF,26,4524,3207.9342712487164
GSK,ACME-CF,26,5021,3177.574765889126
GSK,ACME-CF,26,5085,3165.1284313760198
GSK,ACME-CF,26,6143,3154.0753734297973
GSK,ACME-CF,26,6407,3132.2091908809703
GSK,ACME-CF,26,6741,3132.020081741054
GSK,ACME-CF,26,6761,3123.47164851603
GSK,ACME-CF,26,8560,3109.624374588878
GSK,ACME-CF,26,8901,3097.6018657997793
GSK,ACME-CF,27,1,261399.4659042515
GSK,ACME-CF,27,2,204175.62198369045
GSK,ACME-CF,27,7,4904.932829755293
GSK,ACME-CF,27,15,4347.744802257169
GSK,ACME-CF,27,23,3725.307600143363
GSK,ACME-CF,27,204,3675.719769726233
GSK,ACME-CF,27,302,3645.8639314382767
GSK,ACME-CF,27,425,3560.0311007098226
GSK,ACME-CF,27,493,3527.6818231912916
GSK,ACME-CF,27,563,3467.5178450885023
GSK,ACME-CF,27,1117,3441.5122316416573
GSK,ACME-CF,27,1264,3396.4560262447376
GSK,ACME-CF,27,1449,3324.1077099833133
GSK,ACME-CF,27,1746,3251.4214415440465
