Dimension,Function,Algorithm,Variant_A,Variant_B,N_Pairs,Mean_Log10_AminusB,Median_Log10_AminusB,Shapiro_p,Paired_t_p,Wilcoxon_p,Cohen_dz,Rank_Biserial,Wilcoxon_p_Holm_Block,Paired_t_p_Holm_Block
10,1,SBOA,LIME-CF,SHAP-CF,30,-0.2612203596822743,-0.16914473876621752,0.32119423125263985,0.09260845387683811,0.20540969260036945,-0.31753045552955556,-0.2,0.6162290778011084,0.2778253616305143
10,1,SBOA,LIME-CF,Standard,30,-0.48429376236231886,-0.330103921286762,0.22874123070339641,0.00013228525806753948,0.0004183966666460037,-0.8040853975360326,-0.6,0.00334717333316803,0.0010582820645403158
10,1,SBOA,SHAP-CF,Standard,30,-0.2230734026800444,-5.72664138331902e-12,0.034954287750681774,0.03363550701461881,0.12935307621955872,-0.40717855545366716,-0.037037037037037035,0.5174123048782349,0.20181304208771284
10,1,jSO,ACME-CF,IBREAKDOWN-CF,30,-0.002315296395072212,0.0016655186708449676,0.6046706972206365,0.9402815302595685,0.854172545006435,-0.013796806146572981,0.034482758620689655,1.0,1.0
10,1,jSO,ACME-CF,LIME-CF,30,0.022391342902432675,0.0003061571691489462,0.00227616603724077,0.42171375905422814,0.8882248121928067,0.1487984806098739,0.034482758620689655,1.0,1.0
10,1,jSO,ACME-CF,SHAP-CF,30,0.019249980073790123,0.00016027778023985917,0.21602327087315087,0.4027274227355653,0.5962724972882395,0.1550415275009899,0.034482758620689655,1.0,1.0
10,1,jSO,ACME-CF,Standard,30,-0.02202032332909975,-0.02164216345360437,0.9998812065261414,0.29714574559979506,0.24733722014186277,-0.19383420507757151,-0.10344827586206896,1.0,1.0
10,1,jSO,IBREAKDOWN-CF,LIME-CF,30,0.024706639297504888,0.03918381892940381,0.75037257861918,0.41110313636840334,0.4299677487600704,0.15226527987554195,0.2413793103448276,1.0,1.0
10,1,jSO,IBREAKDOWN-CF,SHAP-CF,30,0.021565276468862336,0.0107101904838931,0.6672834965894814,0.46804603850849813,0.4174403049093858,0.13425171441585632,0.1724137931034483,1.0,1.0
10,1,jSO,IBREAKDOWN-CF,Standard,30,-0.019705026934027536,0.0018098232782923773,0.28058615296765665,0.33016360011401913,0.5666346521781178,-0.18082420675669755,0.034482758620689655,1.0,1.0
10,1,jSO,LIME-CF,SHAP-CF,30,-0.003141362828642554,0.008738397211166316,0.0013248108506730145,0.9113380857584074,0.4427108127662316,-0.020508004941047462,0.1724137931034483,1.0,1.0
10,1,jSO,LIME-CF,Standard,30,-0.04441166623153243,-0.01128425392264365,0.005598779757051205,0.10038123442902512,0.26545303243391527,-0.30985199400256624,-0.10344827586206896,1.0,0.9034311098612261
10,1,jSO,SHAP-CF,Standard,30,-0.04127030340288987,-0.020237474217572604,0.20695535756909847,0.05273407153258641,0.1119914859582523,-0.3687548503179858,-0.2413793103448276,1.0,0.5273407153258641
10,2,BA,ACME-CF,IBREAKDOWN-CF,30,-0.09666677601957449,-0.013100791604240936,1.9763929762161885e-07,0.003564882241036594,3.855675458908081e-07,-0.5791095666157138,-0.9333333333333333,3.084540367126465e-06,0.03564882241036594
10,2,BA,ACME-CF,LIME-CF,30,-0.09134559480607177,-0.012101860394828357,8.097738227491009e-09,0.013774606613875232,1.862645149230957e-09,-0.4787467973075619,-1.0,1.862645149230957e-08,0.09642224629712662
10,2,BA,ACME-CF,SHAP-CF,30,-0.10042003429645005,-0.014221413441063868,2.936205489316481e-08,0.009348379087762452,3.5390257835388184e-08,-0.5083347102901904,-0.9333333333333333,3.1851232051849365e-07,0.08413541178986207
10,2,BA,ACME-CF,Standard,30,-0.10795971749315494,-0.01010782200540361,4.8312235231214764e-08,0.009818368855555183,5.718320608139038e-07,-0.5046316246808427,-0.9333333333333333,4.002824425697327e-06,0.08413541178986207
10,2,BA,IBREAKDOWN-CF,LIME-CF,30,0.0053211812135026924,0.000983484320075334,1.277206692034058e-07,0.6954861763442716,0.22855282202363014,0.07217863215626029,0.06666666666666667,1.0,1.0
10,2,BA,IBREAKDOWN-CF,SHAP-CF,30,-0.003753258276875601,0.001972478252998122,1.8776096702463177e-07,0.7286062272555056,0.308520769700408,-0.06396532236852916,0.2,1.0,1.0
10,2,BA,IBREAKDOWN-CF,Standard,30,-0.01129294147358046,-0.0005861561489086675,2.907315891497555e-09,0.4524312303258504,0.8393927440047264,-0.13905378936896376,-0.06666666666666667,1.0,1.0
10,2,BA,LIME-CF,SHAP-CF,30,-0.009074439490378294,4.624177597445378e-05,7.256430111166185e-06,0.28913228648175293,0.6701805889606476,-0.19714276322966914,0.0,1.0,1.0
10,2,BA,LIME-CF,Standard,30,-0.016614122687083153,-0.0012948515384230141,3.9706461637461145e-06,0.16000064370058434,0.3284698575735092,-0.2632817906904372,-0.2,1.0,0.9600038622035061
10,2,BA,SHAP-CF,Standard,30,-0.007539683196704861,0.00042574055912503184,0.000293420096735094,0.46705543442023845,0.9676735773682594,-0.1345535384774209,0.13333333333333333,1.0,1.0
10,2,GSK,ACME-CF,IBREAKDOWN-CF,30,-0.1515567290706924,-1.3022168345311336e-06,5.664486729308188e-07,0.7010120773938482,0.9032264724373817,-0.07079825951585182,-0.10344827586206896,1.0,1.0
10,2,GSK,ACME-CF,LIME-CF,30,0.06237144407332996,-0.0001316920416488121,0.0003306255854422218,0.9129202632674573,0.2363679323076886,0.02014048499964156,-0.38461538461538464,1.0,1.0
10,2,GSK,ACME-CF,SHAP-CF,30,-0.4243153306662946,-1.0274054789705112e-06,0.0006378554031652022,0.39704505133836865,0.685047073289752,-0.15694580721431842,-0.07142857142857142,1.0,1.0
10,2,GSK,ACME-CF,Standard,30,-1.1331816645798574,-0.011813533933715814,7.375909267635374e-08,0.007395257623029861,8.009374141693115e-08,-0.5258771262926951,-0.8,8.009374141693115e-07,0.05916206098423889
10,2,GSK,IBREAKDOWN-CF,LIME-CF,30,0.21392817314402227,-0.00013758175925193683,3.390092359787275e-05,0.6766932142640207,0.39305018074810505,0.07690564145771019,-0.13333333333333333,1.0,1.0
10,2,GSK,IBREAKDOWN-CF,SHAP-CF,30,-0.27275860159560233,2.7481340858503955e-07,0.00017694203391774679,0.3517868292338344,0.9192965272814035,-0.17277997513293614,0.10344827586206896,1.0,1.0
10,2,GSK,IBREAKDOWN-CF,Standard,30,-0.9816249355091647,-0.01825014585706114,4.595062055642114e-06,0.0008603608261464545,3.7904828786849976e-06,-0.6784124220293527,-0.5333333333333333,3.032386302947998e-05,0.008603608261464545
10,2,GSK,LIME-CF,SHAP-CF,30,-0.4866867747396246,7.934908213713676e-05,0.0001459037309206222,0.32793946546376396,0.9192965272814035,-0.18167164543937783,0.14285714285714285,1.0,1.0
10,2,GSK,LIME-CF,Standard,30,-1.1955531086531868,-0.0015814688943965871,4.870020400223328e-08,0.00808731986237504,0.0006665531545877457,-0.519209616806865,-0.3103448275862069,0.00466587208211422,0.05916206098423889
10,2,GSK,SHAP-CF,Standard,30,-0.7088663339135625,-0.004183659141428486,2.4450565776046494e-07,0.004040910803943954,4.7124922275543213e-07,-0.5700988236725364,-0.6666666666666666,4.241243004798889e-06,0.036368197235495586
10,2,GWO,ACME-CF,IBREAKDOWN-CF,30,-0.061932022911845214,1.922114504265826e-05,2.4932036344891144e-11,0.30268617123062413,0.5158484429121017,-0.19158326773069767,0.06666666666666667,1.0,1.0
10,2,GWO,ACME-CF,LIME-CF,30,-0.011175939448465396,-0.00017738712211917695,2.132272188518175e-05,0.25693649205677543,0.28008678182959557,-0.21113735881556187,-0.13333333333333333,1.0,1.0
10,2,GWO,ACME-CF,SHAP-CF,30,0.005834654874673185,-1.4663105915746488e-05,0.0062228882439832635,0.37709309263896584,0.7303419969975948,0.16377333508679218,0.0,1.0,1.0
10,2,GWO,ACME-CF,Standard,30,-0.001790799730301651,0.00018294873465024564,5.976585735531818e-09,0.912585137554456,0.18396909348666668,-0.02021832339298223,0.2,1.0,1.0
10,2,GWO,IBREAKDOWN-CF,LIME-CF,30,0.050756083463379835,1.2834513025639094e-05,6.579434568639651e-11,0.3443512525007756,0.8235769439488649,0.1755076082824458,0.06666666666666667,1.0,1.0
10,2,GWO,IBREAKDOWN-CF,SHAP-CF,30,0.0677666777865184,0.00011652891594637893,3.5989538962383634e-11,0.27083673061392255,0.2710056286305189,0.20494872404295716,0.2,1.0,1.0
10,2,GWO,IBREAKDOWN-CF,Standard,30,0.06014122318154357,0.0002661357239233664,1.0826598355643939e-10,0.1885663695512817,0.04048972204327583,0.24583925569604514,0.3333333333333333,0.40489722043275833,1.0
10,2,GWO,LIME-CF,SHAP-CF,30,0.01701059432313858,0.0002316347017692899,8.271651158498772e-05,0.14683588314415602,0.1641840822994709,0.2721648706411767,0.2,1.0,1.0
10,2,GWO,LIME-CF,Standard,30,0.009385139718163746,0.00019177117113716724,3.5986673019143453e-07,0.35925951462159034,0.044907208532094955,0.1700771728110564,0.4,0.40489722043275833,1.0
10,2,GWO,SHAP-CF,Standard,30,-0.007625454604974835,-2.537261224661025e-05,3.392632933350035e-08,0.6722536185862398,0.9838335812091827,-0.07802999858984055,-0.2,1.0,1.0
10,2,L-SHADE,ACME-CF,IBREAKDOWN-CF,30,-0.22473045411809783,0.0,4.73454833405569e-11,0.43006081587547973,0.916511907863894,-0.14610894070930355,0.3333333333333333,1.0,1.0
10,2,L-SHADE,ACME-CF,LIME-CF,30,-0.14031431226770816,0.0,1.3323250365433876e-11,0.3075648886362125,0.916511907863894,-0.1896249258572321,0.3333333333333333,1.0,1.0
10,2,L-SHADE,ACME-CF,SHAP-CF,30,-0.09417481223108108,0.0,1.4571581359606161e-10,0.7589690913729761,0.463071015014588,-0.056551596902432666,0.3333333333333333,1.0,1.0
10,2,L-SHADE,ACME-CF,Standard,30,-0.13554763021837557,0.0,9.24015600023749e-11,0.645660448966787,0.3454475304692257,-0.08483089720763157,0.6666666666666666,1.0,1.0
10,2,L-SHADE,IBREAKDOWN-CF,LIME-CF,30,0.08441614185038965,0.0,1.2246265952492957e-10,0.5826109053081783,0.7531523647659145,0.1014746605476646,0.0,1.0,1.0
10,2,L-SHADE,IBREAKDOWN-CF,SHAP-CF,30,0.13055564188701677,0.0,8.311075202867086e-11,0.48482525157301826,0.7531523647659145,0.12919448855541504,0.0,1.0,1.0
10,2,L-SHADE,IBREAKDOWN-CF,Standard,30,0.08918282389972228,0.0,1.176385357022717e-10,0.5691260873833424,0.6001794871405538,0.10514429806420018,0.0,1.0,1.0
10,2,L-SHADE,LIME-CF,SHAP-CF,30,0.04613950003662707,0.0,1.9269521081131607e-10,0.8257026088095647,0.916511907863894,0.04057106928124593,-0.3333333333333333,1.0,1.0
10,2,L-SHADE,LIME-CF,Standard,30,0.004766682049332601,0.0,1.856312509775494e-10,0.9796054582896334,0.916511907863894,0.004707672258442,0.0,1.0,1.0
10,2,L-SHADE,SHAP-CF,Standard,30,-0.041372817987294495,0.0,3.901019505684416e-11,0.2319089700099236,0.17295491798842066,-0.22292873675317001,-0.3333333333333333,1.0,1.0
10,2,OPA,ACME-CF,IBREAKDOWN-CF,30,-0.0032490253990871947,0.0,5.8370911815902366e-09,0.9645604315401801,0.9353114289860184,-0.008182410930790071,0.14285714285714285,1.0,1.0
10,2,OPA,ACME-CF,LIME-CF,30,-0.08478187536180187,0.0,3.4597574526553975e-08,0.46889737311146074,0.5230089917974712,-0.13399262134650886,0.06666666666666667,1.0,1.0
10,2,OPA,ACME-CF,SHAP-CF,30,-0.09101803987179942,0.0,3.501862130107329e-07,0.5246208404815911,0.5034132106662779,-0.11758226456105203,0.0,1.0,1.0
10,2,OPA,ACME-CF,Standard,30,-0.00503596904768299,0.0,8.706071154948617e-08,0.9617073347343836,0.48517001465180276,-0.00884165692123136,-0.2857142857142857,1.0,1.0
10,2,OPA,IBREAKDOWN-CF,LIME-CF,30,-0.08153284996271468,0.0,4.266884972854121e-08,0.497942799849469,0.9095312825191832,-0.12531010925448638,-0.06666666666666667,1.0,1.0
10,2,OPA,IBREAKDOWN-CF,SHAP-CF,30,-0.0877690144727122,0.0,1.1836319941106392e-07,0.4006220405731803,0.2626860925759784,-0.155745090016679,-0.3333333333333333,1.0,1.0
10,2,OPA,IBREAKDOWN-CF,Standard,30,-0.0017869436485958142,0.0,4.792103947983038e-07,0.9848175762635395,0.7943374591300819,-0.0035043799136012946,-0.2,1.0,1.0
10,2,OPA,LIME-CF,SHAP-CF,30,-0.006236164509997533,0.0,2.5241191922800085e-09,0.9383299450709774,0.6893679346514224,-0.014248615402531094,-0.07692307692307693,1.0,1.0
10,2,OPA,LIME-CF,Standard,30,0.07974590631411886,0.0,1.8668276839945608e-08,0.33752542362382143,0.5900638024577389,0.17804660311706666,-0.07692307692307693,1.0,1.0
10,2,OPA,SHAP-CF,Standard,30,0.08598207082411641,0.0,2.0054967328231308e-08,0.3376864726789045,0.7651984444971875,0.1779863007410265,-0.16666666666666666,1.0,1.0
10,2,PSO,ACME-CF,IBREAKDOWN-CF,30,-0.027210539463068603,0.0,1.4899041578907632e-06,0.013717282989491543,0.03304694365260127,-0.4790692745321857,-0.45454545454545453,0.16523471826300634,0.08230369793694926
