Dimension,Function,Topology,MH_Group,Algorithm,Variant,Runs,FinalErr_Mean,FinalErr_Median,FinalErr_STD,FinalErr_Q1,FinalErr_Q3,FinalErr_IQR,Log10Err_Mean,Log10Err_Median,Log10Err_STD,ExecTime_s_Mean,ExecTime_s_Median,ExecTime_s_STD,OptimizerFEs_Median,ExplanationFEs_Median,OracleFEs_Median,OracleAttempts,OracleActivations,AppliedInterventions,Rescues
20,1,Unimodal,CLASSICAL_SWARM,PSO,LIME-CF,30,9.148296461110779e-09,9.376776688441169e-09,7.036136766655308e-10,8.7099181200756e-09,9.615646945348999e-09,9.057288252733997e-10,-8.039998220347677,-8.027949504229667,0.03536682292516696,0.49833328880001015,0.4941514579986688,0.034222330318672486,59420.0,0.0,0.0,0,0,0,0
20,1,Unimodal,CLASSICAL_SWARM,PSO,SHAP-CF,30,9.148296461110779e-09,9.376776688441169e-09,7.036136766655308e-10,8.7099181200756e-09,9.615646945348999e-09,9.057288252733997e-10,-8.039998220347677,-8.027949504229667,0.03536682292516696,0.49086530686569557,0.4881908335009939,0.02644802594978251,59420.0,0.0,0.0,0,0,0,0
20,1,Unimodal,CLASSICAL_SWARM,PSO,Standard,30,9.148296461110779e-09,9.376776688441169e-09,7.036136766655308e-10,8.7099181200756e-09,9.615646945348999e-09,9.057288252733997e-10,-8.039998220347677,-8.027949504229667,0.03536682292516696,0.492366951200529,0.4925195210016682,0.024027488602592722,59420.0,0.0,0.0,0,0,0,0
20,1,Unimodal,RECENT_BIOINSPIRED,SBOA,ACME-CF,30,7.016306837058505,2.6100576408778977,10.470595553637946,2.055592641364399,8.526131184492854,6.4705385431284554,0.5453227434511541,0.41656838028414384,0.5482348203912695,17.004755316668405,16.980221458499727,0.5178125228113324,938650.0,61350.0,61350.0,2363,2362,2362,80
20,1,Unimodal,RECENT_BIOINSPIRED,SBOA,IBREAKDOWN-CF,30,31.367989808354142,25.55334765610806,22.47596999209515,15.223046715827564,41.87364263158217,26.650595915754607,1.376592690109567,1.407432537904028,0.3531054810416868,16.994890356934047,16.99869629150635,0.5871926061667806,954100.0,45900.0,45900.0,2468,2464,2464,338
20,1,Unimodal,RECENT_BIOINSPIRED,SBOA,LIME-CF,30,15.639542854180993,9.764120522964532,15.526415896116797,3.351247608635063,26.753479565353544,23.40223195671848,0.9368558976246583,0.9847663474101875,0.5272560275003456,17.12552739853175,16.92762933349877,0.8332449659157091,942040.0,57960.0,57960.0,2377,2375,2375,175
20,1,Unimodal,RECENT_BIOINSPIRED,SBOA,SHAP-CF,30,23.16467399445766,23.370914289854625,17.78761421203341,7.481837310121222,30.14993239375076,22.668095083629538,1.185206771280175,1.3682956740564123,0.45846548129478254,16.959820679133312,17.03638743749616,0.692033944001435,953740.0,46260.0,46260.0,2488,2486,2486,355
20,1,Unimodal,RECENT_BIOINSPIRED,SBOA,Standard,30,40.36464298425533,42.1654132079056,12.531335212921693,28.068295189312806,48.290789225442,20.22249403612919,1.5848376749377375,1.6249505985469987,0.14005985194293286,16.958853654067205,16.981980124503025,0.29842322924790016,1000000.0,0.0,0.0,0,0,0,0
20,1,Unimodal,ADAPTIVE_DE,jSO,ACME-CF,30,9.079324551445703e-09,9.096680742004537e-09,8.385093156150285e-10,8.661658057462773e-09,9.821675917009998e-09,1.1600178595472244e-09,-8.043862757900989,-8.04112920645909,0.04224075581526715,5.787904548599424,5.683662791496317,0.3682239012795231,264236.5,720.0,720.0,55,55,48,37
20,1,Unimodal,ADAPTIVE_DE,jSO,IBREAKDOWN-CF,30,9.147762132973488e-09,9.335138884125627e-09,6.431000824150666e-10,8.58616999721562e-09,9.675545697973575e-09,1.0893757007579552e-09,-8.039760307007093,-8.029879593811978,0.031368389426992216,5.6936140026014375,5.651062083001307,0.15614837946383672,262623.5,420.0,420.0,42,42,40,40
