Dimension,MH_Group,Topology,Algorithm,Variant,Runs,FinalErr_Mean,FinalErr_Median,Log10FinalErr_Median,ExecTime_s_Median,ExplanationFEs_Median,AppliedInterventions,Rescues
10,RECENT_BIOINSPIRED,Hybrid,SBOA,IBREAKDOWN-CF,90,8229.277068195544,31.52679596906944,1.4986798112192976,37.68648312450023,31320.0,5279,1020
10,RECENT_BIOINSPIRED,Hybrid,SBOA,LIME-CF,90,7992.121809794852,31.532747021781915,1.4987243035652793,37.68881539550421,39240.0,4876,770
10,RECENT_BIOINSPIRED,Hybrid,SBOA,SHAP-CF,90,7922.6573787785655,32.716646747722734,1.514768408159385,37.728816208498756,33090.0,5299,1070
10,RECENT_BIOINSPIRED,Hybrid,SBOA,Standard,90,8558.326384290847,32.84998373851249,1.516532402868493,37.825829333498405,0.0,0,0
10,RECENT_BIOINSPIRED,Multimodal,OPA,ACME-CF,120,11.205640502079683,0.758929381647448,-0.12892273526392933,5.509731270500197,50700.0,7730,323
10,RECENT_BIOINSPIRED,Multimodal,OPA,IBREAKDOWN-CF,120,11.591747407381623,0.5005640019156488,-0.300958324993408,5.473489583499031,37350.0,8507,325
10,RECENT_BIOINSPIRED,Multimodal,OPA,LIME-CF,120,11.870144103239678,0.9181259167125404,-0.03709842874789453,5.453195458499977,48240.0,7973,295
10,RECENT_BIOINSPIRED,Multimodal,OPA,SHAP-CF,120,12.234650006193354,0.9162139858851788,-0.038003105205722094,5.500805750001746,37980.0,8504,328
10,RECENT_BIOINSPIRED,Multimodal,OPA,Standard,120,10.98331674511032,0.46965734354671435,-0.3282189668679866,5.453456416998961,0.0,0,0
10,RECENT_BIOINSPIRED,Multimodal,SBOA,ACME-CF,120,8.596903761420034,0.45458725877426787,-0.3423827767687867,5.27351102099783,49920.0,7647,315
10,RECENT_BIOINSPIRED,Multimodal,SBOA,IBREAKDOWN-CF,120,8.930620643087298,0.47580913238004996,-0.3226333941724001,5.36856264549715,38880.0,8422,531
10,RECENT_BIOINSPIRED,Multimodal,SBOA,LIME-CF,120,9.032497315691751,0.498301582680142,-0.302538487652689,5.336153395997826,48240.0,7872,360
10,RECENT_BIOINSPIRED,Multimodal,SBOA,SHAP-CF,120,8.701772567972517,0.4609751318976123,-0.33632251186451323,5.308591687498847,38640.0,8288,550
10,RECENT_BIOINSPIRED,Multimodal,SBOA,Standard,120,8.44773373089859,0.551305238460543,-0.25861080385955815,5.358147062997887,0.0,0,0
10,RECENT_BIOINSPIRED,Unimodal,OPA,ACME-CF,30,7.535180797159323,6.505230004238683,0.8131997390294257,4.372471416998451,49470.0,1911,52
10,RECENT_BIOINSPIRED,Unimodal,OPA,IBREAKDOWN-CF,30,7.411436102531932,6.505230003147204,0.8131997389577768,4.23251904150311,36300.0,2108,50
10,RECENT_BIOINSPIRED,Unimodal,OPA,LIME-CF,30,7.435190008194949,6.1405844978588675,0.787838084715375,4.376376291500492,47160.0,1936,71
10,RECENT_BIOINSPIRED,Unimodal,OPA,SHAP-CF,30,7.2893479235202925,6.140584497859095,0.7878380847153904,4.32784024999637,36870.0,2070,73
10,RECENT_BIOINSPIRED,Unimodal,OPA,Standard,30,8.269016107372414,6.701938783463902,0.82616470971258,4.422159395999188,0.0,0,0
10,RECENT_BIOINSPIRED,Unimodal,SBOA,ACME-CF,30,1.2442950071048131,1.1062883884436019,0.04305147674689159,4.395448375002161,47580.0,1834,57
10,RECENT_BIOINSPIRED,Unimodal,SBOA,IBREAKDOWN-CF,30,5.121780160618556,4.683147036213114,0.6670336453181119,4.175254709000001,37800.0,2061,136
10,RECENT_BIOINSPIRED,Unimodal,SBOA,LIME-CF,30,3.161389702084898,2.2748407506505544,0.35454803551900893,4.019311729502078,47520.0,1909,77
10,RECENT_BIOINSPIRED,Unimodal,SBOA,SHAP-CF,30,4.912060556070837,4.015723548199986,0.6036882424306149,4.039388000001054,37380.0,2026,150
