MH_Group,Algorithm,Variant,FeatureType,Feature,MeanNormalizedContribution,MedianNormalizedContribution,Top1Frequency,Top3Frequency,UsefulAssociated
CLASSICAL_SWARM,BA,ACME-CF,Actionable,loudness,0.45860885044722344,0.0,0.4591063258291411,0.9996813184311761,0.05271903667114338
CLASSICAL_SWARM,BA,ACME-CF,Actionable,pulse_rate,0.0005759753757274321,0.0,0.0003414445380255401,0.0011836743984885388,0.05271903667114338
CLASSICAL_SWARM,BA,IBREAKDOWN-CF,Actionable,alpha,0.0,0.0,0.0,0.0,0.04387530376670717
CLASSICAL_SWARM,BA,IBREAKDOWN-CF,Actionable,fmax,0.0,0.0,0.0,1.0,0.04387530376670717
CLASSICAL_SWARM,BA,IBREAKDOWN-CF,Actionable,fmin,0.0,0.0,0.9987659477521263,1.0,0.04387530376670717
CLASSICAL_SWARM,BA,IBREAKDOWN-CF,Actionable,gamma,0.0,0.0,0.0,0.0,0.04387530376670717
CLASSICAL_SWARM,BA,IBREAKDOWN-CF,Actionable,loudness,0.001234052247873633,0.0,0.001234052247873633,1.0,0.04387530376670717
CLASSICAL_SWARM,BA,IBREAKDOWN-CF,Actionable,pulse_rate,0.0,0.0,0.0,0.0,0.04387530376670717
CLASSICAL_SWARM,BA,LIME-CF,Actionable,alpha,0.1587324372290704,0.1372479960037668,0.14597562868674324,0.4801692021111456,0.05419512573734865
CLASSICAL_SWARM,BA,LIME-CF,Actionable,fmax,0.15097017996883794,0.1309004582686195,0.1255627134430301,0.45731139397702575,0.05419512573734865
CLASSICAL_SWARM,BA,LIME-CF,Actionable,fmin,0.2049986124927792,0.18156913353214735,0.26979199006519716,0.5956418814032909,0.05419512573734865
CLASSICAL_SWARM,BA,LIME-CF,Actionable,gamma,0.15118161498519495,0.13132701233885563,0.12585377212045948,0.4600473455448618,0.05419512573734865
CLASSICAL_SWARM,BA,LIME-CF,Actionable,loudness,0.18300464787160856,0.1609713803872888,0.2103966159577771,0.5457932319155542,0.05419512573734865
CLASSICAL_SWARM,BA,LIME-CF,Actionable,pulse_rate,0.15111250745250895,0.13125515474341265,0.12241927972679292,0.4610369450481217,0.05419512573734865
CLASSICAL_SWARM,BA,SHAP-CF,Actionable,alpha,0.0006356687900990517,0.0,0.0002676250191160728,0.0014337054595503899,0.04289646734974767
CLASSICAL_SWARM,BA,SHAP-CF,Actionable,fmax,0.0,0.0,0.0,0.9986236427588316,0.04289646734974767
CLASSICAL_SWARM,BA,SHAP-CF,Actionable,fmin,0.0,0.0,0.9979163480654535,0.9999044196360299,0.04289646734974767
CLASSICAL_SWARM,BA,SHAP-CF,Actionable,gamma,0.0,0.0,0.0,0.0,0.04289646734974767
CLASSICAL_SWARM,BA,SHAP-CF,Actionable,loudness,0.0013255603541259982,0.0,0.0017013304786664628,0.999789723199266,0.04289646734974767
CLASSICAL_SWARM,BA,SHAP-CF,Actionable,pulse_rate,0.0001224227903215169,0.0,0.00011469643676403119,0.00024850894632206757,0.04289646734974767
CLASSICAL_SWARM,GWO,ACME-CF,Actionable,a_scale,0.10001241703738112,0.0,0.9993460490463215,0.9999182561307902,0.13337874659400545
CLASSICAL_SWARM,GWO,ACME-CF,Actionable,leader_alpha,0.00029376159295452697,0.0,0.00027247956403269756,0.9999455040871935,0.13337874659400545
CLASSICAL_SWARM,GWO,ACME-CF,Actionable,leader_beta,0.00016496116845408289,0.0,8.174386920980927e-05,0.999591280653951,0.13337874659400545
CLASSICAL_SWARM,GWO,ACME-CF,Actionable,leader_delta,0.0002918029805018302,0.0,0.0002997275204359673,0.0005449591280653951,0.13337874659400545
CLASSICAL_SWARM,GWO,IBREAKDOWN-CF,Actionable,a_scale,0.0001860330745703008,0.0,0.9998492840994725,0.9999497613664908,0.20577744285355437
CLASSICAL_SWARM,GWO,IBREAKDOWN-CF,Actionable,leader_alpha,6.817016748794911e-05,0.0,0.0001004772670183371,0.9999497613664908,0.20577744285355437
CLASSICAL_SWARM,GWO,IBREAKDOWN-CF,Actionable,leader_beta,7.739601575404718e-05,0.0,5.023863350916855e-05,1.0,0.20577744285355437
CLASSICAL_SWARM,GWO,IBREAKDOWN-CF,Actionable,leader_delta,2.0071176751882754e-05,0.0,0.0,0.0001004772670183371,0.20577744285355437
CLASSICAL_SWARM,GWO,LIME-CF,Actionable,a_scale,0.25038644620448974,0.22574666805005,0.2506883440409073,0.7514356889996067,0.19171364887898257
CLASSICAL_SWARM,GWO,LIME-CF,Actionable,leader_alpha,0.24902824557995687,0.22322467334508792,0.24866920152091254,0.7470040645076701,0.19171364887898257
CLASSICAL_SWARM,GWO,LIME-CF,Actionable,leader_beta,0.2495743592502344,0.22442731291754317,0.2480923036580569,0.7508063458764914,0.19171364887898257
CLASSICAL_SWARM,GWO,LIME-CF,Actionable,leader_delta,0.25101094896531895,0.22630891180991186,0.2525501507801233,0.7507539006162318,0.19171364887898257
CLASSICAL_SWARM,GWO,SHAP-CF,Actionable,a_scale,0.00036698359909382856,0.0,0.9996975349095125,0.9999495891515854,0.20423955235166608
CLASSICAL_SWARM,GWO,SHAP-CF,Actionable,leader_alpha,0.0001057312640692041,0.0,0.00010082169682915764,0.9997479457579271,0.20423955235166608
CLASSICAL_SWARM,GWO,SHAP-CF,Actionable,leader_beta,0.00013862372187161963,0.0,0.00010082169682915764,0.9997731511821344,0.20423955235166608
CLASSICAL_SWARM,GWO,SHAP-CF,Actionable,leader_delta,0.00017002956539131936,0.0,0.00010082169682915764,0.0005293139083530775,0.20423955235166608
CLASSICAL_SWARM,PSO,ACME-CF,Actionable,c1,3.2132047003814574e-05,0.0,0.0,0.9894576101958712,0.1569612075294394
CLASSICAL_SWARM,PSO,ACME-CF,Actionable,c2,4.9054156907192515e-05,0.0,2.936598831233665e-05,0.8982762164860658,0.1569612075294394
CLASSICAL_SWARM,PSO,ACME-CF,Actionable,vmax,0.07178328944904606,0.0,0.0657798138196341,0.11226617331806302,0.1569612075294394
CLASSICAL_SWARM,PSO,ACME-CF,Actionable,w,0.05781572873432158,0.0,0.9341908201920536,1.0,0.1569612075294394
CLASSICAL_SWARM,PSO,IBREAKDOWN-CF,Actionable,c1,3.176844643028041e-05,0.0,2.7877672771877004e-05,0.9930863371525745,0.16010147472888964
CLASSICAL_SWARM,PSO,IBREAKDOWN-CF,Actionable,c2,9.987706446385734e-05,0.0,8.363301831563101e-05,0.993894789662959,0.16010147472888964
CLASSICAL_SWARM,PSO,IBREAKDOWN-CF,Actionable,vmax,0.0077619400352406135,0.0,0.007582726993950545,0.013046750857238438,0.16010147472888964
CLASSICAL_SWARM,PSO,IBREAKDOWN-CF,Actionable,w,0.010868088229338472,0.0,0.9923057623149619,0.9999721223272281,0.16010147472888964
CLASSICAL_SWARM,PSO,LIME-CF,Actionable,c1,0.241714351756146,0.21511873931168563,0.23433085394683734,0.7359741682523209,0.1513290664821542
CLASSICAL_SWARM,PSO,LIME-CF,Actionable,c2,0.2443494467692329,0.21746035830982247,0.24142305252839763,0.7434699878913683,0.1513290664821542
CLASSICAL_SWARM,PSO,LIME-CF,Actionable,vmax,0.26166767851443623,0.23496474168711584,0.27267485440811856,0.7616617655538257,0.1513290664821542
CLASSICAL_SWARM,PSO,LIME-CF,Actionable,w,0.25226852296018487,0.22751059103336407,0.2515712391166465,0.7588940783024851,0.1513290664821542
CLASSICAL_SWARM,PSO,SHAP-CF,Actionable,c1,5.620707076352625e-05,0.0,2.7966552003803452e-05,0.9945744889112621,0.16080767402186985
CLASSICAL_SWARM,PSO,SHAP-CF,Actionable,c2,6.987505561490922e-05,0.0,0.00011186620801521381,0.9907710378387449,0.16080767402186985
CLASSICAL_SWARM,PSO,SHAP-CF,Actionable,vmax,0.007539604811444272,0.0,0.006823838688928042,0.014878205666023436,0.16080767402186985
CLASSICAL_SWARM,PSO,SHAP-CF,Actionable,w,0.00763201700825778,0.0,0.993036328551053,0.9997762675839695,0.16080767402186985
KNOWLEDGE_BASED,GSK,ACME-CF,Actionable,KF,0.1956209228090929,0.0,0.9928538093571345,1.0,0.19936413487341034
KNOWLEDGE_BASED,GSK,ACME-CF,Actionable,KR,0.017802248349465023,0.0,0.007146190642865476,1.0,0.19936413487341034
KNOWLEDGE_BASED,GSK,IBREAKDOWN-CF,Actionable,KF,0.06762621605108465,0.0,0.9687713077867176,1.0,0.26395745261148235
KNOWLEDGE_BASED,GSK,IBREAKDOWN-CF,Actionable,KR,0.031296462252474615,0.0,0.031228692213282422,1.0,0.26395745261148235
KNOWLEDGE_BASED,GSK,LIME-CF,Actionable,KF,0.4863714682721668,0.4786267581492986,0.4778580911638885,1.0,0.25083345626198555
KNOWLEDGE_BASED,GSK,LIME-CF,Actionable,KR,0.5136285317278332,0.5213732418507012,0.5221419088361116,1.0,0.25083345626198555
KNOWLEDGE_BASED,GSK,SHAP-CF,Actionable,KF,0.0549457249234118,0.0,0.9622216112180368,1.0,0.2688754467968106
KNOWLEDGE_BASED,GSK,SHAP-CF,Actionable,KR,0.042249765865700104,0.0,0.03777838878196316,1.0,0.2688754467968106
RECENT_BIOINSPIRED,OPA,ACME-CF,Actionable,attack_weight,0.01829424395005209,0.0,0.014963264992114474,0.9934992499134515,0.03663884294341655
RECENT_BIOINSPIRED,OPA,ACME-CF,Actionable,drive_weight,0.03416441810408709,0.0,0.9591491325922222,0.9864407431626726,0.03663884294341655
RECENT_BIOINSPIRED,OPA,ACME-CF,Actionable,encircle_weight,0.01995184061682219,0.0,0.023137285071354388,0.9950763549640343,0.03663884294341655
RECENT_BIOINSPIRED,OPA,ACME-CF,Actionable,explore_prob,0.010906803172020512,0.0,0.002750317344308959,0.02498365195984152,0.03663884294341655
RECENT_BIOINSPIRED,OPA,IBREAKDOWN-CF,Actionable,attack_weight,0.006488879318454137,0.0,0.005484494005320506,0.9884479428592252,0.03837323712692686
RECENT_BIOINSPIRED,OPA,IBREAKDOWN-CF,Actionable,drive_weight,0.009437165905000615,0.0,0.9720309026638971,0.9979228162238986,0.03837323712692686
RECENT_BIOINSPIRED,OPA,IBREAKDOWN-CF,Actionable,encircle_weight,0.014284180819697201,0.0,0.014850041908093728,0.9979592580445319,0.03837323712692686
RECENT_BIOINSPIRED,OPA,IBREAKDOWN-CF,Actionable,explore_prob,0.00874608021390865,0.0,0.007634561422688677,0.015669982872344303,0.03837323712692686
RECENT_BIOINSPIRED,OPA,LIME-CF,Actionable,attack_weight,0.25013379205513897,0.22459283096909277,0.24971404605764833,0.751467896904072,0.03730745767881653
RECENT_BIOINSPIRED,OPA,LIME-CF,Actionable,drive_weight,0.24879073471416457,0.222895208240142,0.24670199786487723,0.7484177215189873,0.03730745767881653
RECENT_BIOINSPIRED,OPA,LIME-CF,Actionable,encircle_weight,0.2531409823734373,0.22834976172516175,0.2578732652127497,0.7539271008082965,0.03730745767881653
RECENT_BIOINSPIRED,OPA,LIME-CF,Actionable,explore_prob,0.2479344908572592,0.22206626190408596,0.24571069086472472,0.7461872807686442,0.03730745767881653
