Dimension,Function,Algorithm,Variant,Runs,Best,Worst,Median,Mean,Std,TargetSuccessRate,MedianFEterm
20,4,L-SHADE,ACME-CF,30,18.772232804747205,88.94402963212292,53.81614037064003,55.147502854510066,22.945501544389018,0.0,1000000.0
20,4,L-SHADE,IBREAKDOWN-CF,30,16.762234491365234,104.20374148058896,57.152050948374324,50.83194635436976,25.042000439895975,0.0,1000000.0
20,4,L-SHADE,LIME-CF,30,16.414934056994298,131.61142035371324,43.988087187564986,51.2535620750225,31.21675233588293,0.0,1000000.0
20,4,L-SHADE,SHAP-CF,30,22.952118237438413,109.19672614016385,59.80836706612206,62.18691522277857,26.534325880550984,0.0,1000000.0
20,4,L-SHADE,Standard,30,59.049812801907365,127.54068221777504,100.48572558504338,98.25036793031586,14.3332181217202,0.0,1000000.0
20,4,OPA,ACME-CF,30,68.0,256.0,145.09789765871767,145.61448526810122,49.11695202839885,0.0,1000000.0
20,4,OPA,IBREAKDOWN-CF,30,68.0,248.00000000000023,124.0,142.53923163823777,51.58119240227156,0.0,1000000.0
20,4,OPA,LIME-CF,30,68.0,252.00000000002888,131.25,145.27785808792675,51.04085623856215,0.0,1000000.0
20,4,OPA,SHAP-CF,30,68.0,242.00000001464468,127.0,144.17340370701007,51.22220094431573,0.0,1000000.0
20,4,OPA,Standard,30,68.0,248.0,128.25,145.32310320571202,50.682772369869944,0.0,1000000.0
20,4,PSO,ACME-CF,30,62.0,172.0,106.0,112.68236033546387,32.39107384367199,0.0,1000000.0
20,4,PSO,IBREAKDOWN-CF,30,62.0,184.0,106.0,112.8,33.27461494893667,0.0,1000000.0
20,4,PSO,LIME-CF,30,62.0,184.0,104.0,109.66666666666671,31.87078797953982,0.0,1000000.0
20,4,PSO,SHAP-CF,30,62.0,184.0,106.0,112.80478701396255,33.28105388162557,0.0,1000000.0
20,4,PSO,Standard,30,62.0,184.0,106.0,113.13333333333334,34.23119502213848,0.0,1000000.0
20,4,SBOA,ACME-CF,30,58.3470132025833,194.0,102.01287506524773,108.93574757252149,32.560760895811846,0.0,1000000.0
20,4,SBOA,IBREAKDOWN-CF,30,58.01985607222469,174.0000230941116,100.00000001247685,106.83494652730019,29.670860377083024,0.0,1000000.0
20,4,SBOA,LIME-CF,30,58.187686075283864,184.0000000000058,99.02661893635462,107.17363842776051,30.709952866146853,0.0,1000000.0
20,4,SBOA,SHAP-CF,30,60.38931274298807,174.00001192032423,101.00004532578015,107.07686366716838,28.99286280939603,0.0,1000000.0
20,4,SBOA,Standard,30,60.38931274298807,194.0,101.25809183940515,108.1854833807662,32.6412296820387,0.0,1000000.0
20,4,jSO,ACME-CF,30,22.193013312259723,126.76767346074917,91.88297376881002,90.19106677492839,21.4904502990674,0.0,1000000.0
20,4,jSO,IBREAKDOWN-CF,30,41.23823878571886,163.3146417536352,109.96113302146205,105.0910213137885,28.734723671964705,0.0,1000000.0
20,4,jSO,LIME-CF,30,12.026446653990206,145.2644696773632,83.33418753687835,84.87085215244358,36.596508753827095,0.0,1000000.0
20,4,jSO,SHAP-CF,30,38.853527841451296,152.14786027663718,107.88496695147826,103.58502898634823,27.641218791087407,0.0,1000000.0
20,4,jSO,Standard,30,77.61774897317014,157.64148595781376,141.3353333108352,137.7738296472469,18.188284540022245,0.0,1000000.0
20,5,BA,ACME-CF,30,3.247772093834328,14.296788136520831,7.573343417293927,7.927562588730681,2.901480670508396,0.0,1000000.0
