Dimension,Function,Algorithm,Variant,Runs,ExecTime_s_Mean,ExecTime_s_Median,ExecTime_s_STD,OptimizerFEs_Mean,ExplanationFEs_Mean,OracleFEs_Mean,ExplanationShare_Mean
10,4,GSK,LIME-CF,30,8.113846386067356,8.099717874501948,0.14642101517576706,152386.0,47614.0,47614.0,0.23807
10,4,GSK,SHAP-CF,30,8.08956619580058,8.080908249998174,0.14821540715705356,181252.0,18748.0,18748.0,0.09373999999999999
10,4,GSK,Standard,30,8.041547312599869,8.01853381249748,0.16439336093450238,200000.0,0.0,0.0,0.0
10,4,GWO,ACME-CF,30,9.61542414163414,9.58527010400212,0.19367947118225018,157140.0,42860.0,42860.0,0.21430000000000002
10,4,GWO,IBREAKDOWN-CF,30,9.604758526366883,9.589234478502476,0.19394269692374438,169248.0,30752.0,30752.0,0.15376
10,4,GWO,LIME-CF,30,9.615919212499527,9.571868916496896,0.19813366486854694,155744.0,44256.0,44256.0,0.22128
10,4,GWO,SHAP-CF,30,9.622281138966597,9.632082541498676,0.19761668902089372,168908.0,31092.0,31092.0,0.15546000000000001
10,4,GWO,Standard,30,9.557572740333368,9.532998957998643,0.1658935798748224,200000.0,0.0,0.0,0.0
10,4,L-SHADE,ACME-CF,30,8.850725044399587,8.83133799999996,0.1764311005543079,157662.03333333333,42337.96666666667,42337.96666666667,0.21168983333333333
10,4,L-SHADE,IBREAKDOWN-CF,30,8.902621659700284,8.901697458000854,0.20901364060793154,167619.4,32380.6,32380.6,0.16190300000000002
10,4,L-SHADE,LIME-CF,30,8.873704051500681,8.831067479499325,0.184946202115516,160161.2,39838.8,39838.8,0.19919399999999998
10,4,L-SHADE,SHAP-CF,30,8.870650233298996,8.866977687499457,0.18297180241553443,169463.93333333332,30536.066666666666,30536.066666666666,0.15268033333333333
10,4,L-SHADE,Standard,30,8.834572197200032,8.813421146001929,0.20158976042860824,200000.0,0.0,0.0,0.0
10,4,OPA,ACME-CF,30,7.943110152799878,7.912771312501718,0.20976385362919306,149562.0,50438.0,50438.0,0.25218999999999997
10,4,OPA,IBREAKDOWN-CF,30,7.9428287583000685,7.9192884789990785,0.17072273698199167,162590.0,37410.0,37410.0,0.18705000000000002
10,4,OPA,LIME-CF,30,7.9400771917336295,7.931774395998218,0.1660118638585814,152000.0,48000.0,48000.0,0.24000000000000002
10,4,OPA,SHAP-CF,30,7.941188142899531,7.90379508299884,0.1671701119252738,162582.0,37418.0,37418.0,0.18709
10,4,OPA,Standard,30,7.904240374866155,7.921079042000201,0.17152365792627308,200000.0,0.0,0.0,0.0
10,4,PSO,ACME-CF,30,6.091204219401212,6.065847021000081,0.11029754830375237,151678.0,48322.0,48322.0,0.24161
10,4,PSO,IBREAKDOWN-CF,30,6.091806897166195,6.088423124994733,0.11343935085369633,162686.0,37314.0,37314.0,0.18657
10,4,PSO,LIME-CF,30,6.104069643099502,6.114321041499352,0.12218778052895539,154352.0,45648.0,45648.0,0.22824
10,4,PSO,SHAP-CF,30,6.11915524726622,6.106035354499909,0.13708865395789774,163676.0,36324.0,36324.0,0.18162
10,4,PSO,Standard,30,6.01732827496647,6.020430499997019,0.14085034861649048,200000.0,0.0,0.0,0.0
10,4,SBOA,ACME-CF,30,7.8063134334658875,7.82112697949924,0.18940581169734708,149124.0,50876.0,50876.0,0.25438
10,4,SBOA,IBREAKDOWN-CF,30,7.807058223599355,7.806287999999768,0.17759784680204563,161930.0,38070.0,38070.0,0.19035
10,4,SBOA,LIME-CF,30,7.795403647266357,7.810384062500816,0.15030309574282097,152576.0,47424.0,47424.0,0.23712
10,4,SBOA,SHAP-CF,30,7.834883874999408,7.841331208499469,0.19866803399753308,162212.0,37788.0,37788.0,0.18894
10,4,SBOA,Standard,30,7.766224868066638,7.711029937501735,0.1776320955336141,200000.0,0.0,0.0,0.0
10,4,jSO,ACME-CF,30,8.852996630433335,8.803004958001111,0.16651323330415146,153208.8,46791.2,46791.2,0.233956
10,4,jSO,IBREAKDOWN-CF,30,8.919225920900741,8.87525212500259,0.14959107948435652,165896.0,34104.0,34104.0,0.17051999999999998
10,4,jSO,LIME-CF,30,8.87997455690056,8.846394791500643,0.15542418639103045,156112.8,43887.2,43887.2,0.219436
10,4,jSO,SHAP-CF,30,8.866284481965947,8.840065438002057,0.17943956958531254,165563.06666666668,34436.933333333334,34436.933333333334,0.17218466666666668
10,4,jSO,Standard,30,8.847353544499734,8.787517270997341,0.18388460179920185,200000.0,0.0,0.0,0.0
10,5,BA,ACME-CF,30,3.2888759292002456,3.2842447705006634,0.06014436152535296,144198.0,55802.0,55802.0,0.27901000000000004
10,5,BA,IBREAKDOWN-CF,30,3.2663006054999033,3.270313271001214,0.05895864918272255,157728.0,42272.0,42272.0,0.21136
