Dimension,MH_Group,Algorithm,Variant,Runs,FinalErr_Mean,FinalErr_Median,FinalErr_STD,FinalErr_IQR,Log10FinalErr_Mean,Log10FinalErr_Median,Log10FinalErr_STD,ExecTime_s_Mean,ExecTime_s_Median,OptimizerFEs_Median,ExplanationFEs_Median,ExplanationShare_Median,OracleAttempts,OracleActivations,AppliedInterventions,Rescues
10,CLASSICAL_SWARM,BA,ACME-CF,360,3566.5880301231305,28.441433123948173,12795.875321766214,220.7076384840843,1.063639457099536,1.4539485669131138,2.159865069669002,13.923240743616468,8.52198318799492,141080.0,58920.0,0.2946,19996,19823,19823,625
10,CLASSICAL_SWARM,BA,IBREAKDOWN-CF,360,4571.358473897991,30.01721095415985,16057.829394014429,215.5362313839457,1.274648323693269,1.477370265986676,1.9109208362596126,13.914267647310993,8.467405104500358,157010.0,42990.0,0.21495,24131,24045,24045,960
10,CLASSICAL_SWARM,BA,LIME-CF,360,4513.351171088751,29.966086834941223,16082.937225040463,218.97882945640868,1.284387012126384,1.4766297555124717,1.885058834605968,13.953399976964143,8.537244271003146,153200.0,46800.0,0.234,23342,23264,23264,1121
10,CLASSICAL_SWARM,BA,SHAP-CF,360,4299.779990822328,29.878155083851766,15100.003129868264,217.75833534075787,1.2636164094501132,1.4753516804400362,1.9113931951042864,13.942737003482923,8.490039562497259,155720.0,44280.0,0.2214,23775,23650,23650,983
10,CLASSICAL_SWARM,BA,Standard,360,4401.963636072797,28.252797110367737,15510.11711973448,210.9975327470745,1.2813352511406353,1.4510609764117097,1.8840620093662503,13.86766082964425,8.41933287500433,200000.0,0.0,0.0,0,0,0,0
10,CLASSICAL_SWARM,GWO,ACME-CF,360,2980.8622730567527,20.55386975885881,10343.752412290722,165.98874074193498,0.42857162117081216,1.3127358617821376,2.78235404078979,17.550504687636668,12.087033333496947,161960.0,38040.0,0.1902,18302,18289,18289,1801
10,CLASSICAL_SWARM,GWO,IBREAKDOWN-CF,360,2876.1304591371663,21.612693843591842,10230.448633245871,166.33195973014327,0.4596308130611054,1.3347075538902597,2.7807929381535255,17.50077625069189,12.100161750000552,173330.0,26670.0,0.13335000000000002,20489,20476,20476,3551
10,CLASSICAL_SWARM,GWO,LIME-CF,360,2961.7945560467547,23.426195469196614,10576.6871716631,166.34004848030833,0.507332293022263,1.369701313000371,2.7096573293460793,17.55705901410545,12.071531479497935,163280.0,36720.0,0.1836,18942,18927,18927,3033
10,CLASSICAL_SWARM,GWO,SHAP-CF,360,2861.5596710282357,22.09107703802283,10109.15916899566,166.33975325227232,0.4595657639878825,1.3442168875616163,2.7661759864704805,17.524339600005746,12.067986021000252,173690.0,26310.0,0.13155,20380,20361,20361,3418
10,CLASSICAL_SWARM,GWO,Standard,360,2912.3161323276163,21.94844768588962,10164.377241880926,166.33561726736357,0.4400989057648204,1.341402612018877,2.8032452790527764,17.51605472896382,11.99938695849778,200000.0,0.0,0.0,0,0,0,0
10,CLASSICAL_SWARM,PSO,ACME-CF,360,680.0932063182864,20.786017297272338,3775.531333480775,169.14703370455754,-1.1186126253958686,1.31776899956383,4.576501413505828,12.321124863330665,5.954858916498779,148040.0,32220.0,0.1611,12962,12899,12899,2319
10,CLASSICAL_SWARM,PSO,IBREAKDOWN-CF,360,677.8104268789004,20.674691923737782,3772.0324157336595,169.03707937174482,-1.1144341101180555,1.315439031713305,4.579725107460974,12.29643727024775,5.960370853499626,160580.0,25380.0,0.1269,14199,14151,14151,2648
10,CLASSICAL_SWARM,PSO,LIME-CF,360,673.499692390861,20.702519487377685,3769.060861803514,169.00449848218116,-1.0996619027550318,1.316023080878617,4.561466134840435,12.338044697219246,5.962202209000679,151040.0,33120.0,0.1656,13382,13321,13321,2261
10,CLASSICAL_SWARM,PSO,SHAP-CF,360,668.9529168590728,20.546377560014207,3758.752643079578,169.47806747555086,-1.1155962485935222,1.3127352474052416,4.576773057128591,12.329453299277924,5.96736118699846,160340.0,26760.0,0.1338,14217,14114,14114,2593
10,CLASSICAL_SWARM,PSO,Standard,360,673.1848529626774,20.91697446514013,3765.15163196848,170.77435983133995,-1.1309161821082767,1.3204977623403682,4.5918059552990895,12.221942798966847,5.842563146001339,200000.0,0.0,0.0,0,0,0,0
10,KNOWLEDGE_BASED,GSK,ACME-CF,360,186.4319888802551,2.2209590299992215,1372.9282140647583,24.84299955049653,-2.163893627147002,0.346515814689639,4.550456537565787,13.60221792140817,5.862070145500184,171290.0,19260.0,0.0963,14274,14236,14226,3258
10,KNOWLEDGE_BASED,GSK,IBREAKDOWN-CF,360,173.93308197589596,1.4890756524167728,877.3004991164751,32.43699551936018,-1.9312142595453132,0.17275788936441172,4.412223102843224,13.741184878102953,5.927865208497678,182240.0,12960.0,0.0648,15985,15966,15963,5011
10,KNOWLEDGE_BASED,GSK,LIME-CF,360,220.88472503667543,8.916101927781312,1420.8594151090726,27.977868597452556,-2.034428141382834,0.9501750246377145,4.527475492679499,13.753433311133348,5.933723937498144,153380.0,34920.0,0.1746,13743,13692,13690,3989
10,KNOWLEDGE_BASED,GSK,SHAP-CF,360,170.79236727359304,1.8184937393848486,882.4361676620144,23.91541622461976,-1.9333762405014567,0.25914371436136907,4.40890703396272,13.756328509730842,5.919418854002288,182300.0,13080.0,0.0654,15889,15799,15795,5308
10,KNOWLEDGE_BASED,GSK,Standard,360,257.8330310043464,1.9967546587643026,1462.6887891993936,35.72032184821211,-1.7109535846691828,0.29695176081736135,4.282236484633588,13.779347253005108,5.871591770501254,200000.0,0.0,0.0,0,0,0,0
10,RECENT_BIOINSPIRED,OPA,ACME-CF,360,1725.7597676369824,26.0,6599.966392319601,209.77559538959446,0.9140649345745567,1.414973347970818,2.1529642236656015,15.946224978955616,10.471611646000383,150260.0,49740.0,0.2487,22364,22260,22260,1061
10,RECENT_BIOINSPIRED,OPA,IBREAKDOWN-CF,360,1750.7149275445552,24.896679778224325,6790.736029648789,211.25124045651307,0.9016032654377807,1.3961352596960193,2.1728410569692285,15.943381537747255,10.374184791500738,163460.0,36540.0,0.1827,24481,24421,24421,1174
10,RECENT_BIOINSPIRED,OPA,LIME-CF,360,1739.1260860929885,26.246330686238053,6588.168273612492,209.79214650709912,0.8932919219400262,1.4190642894946752,2.21016718658376,15.904710334355938,10.369005229502363,152480.0,47520.0,0.2376,23003,22922,22922,1048
10,RECENT_BIOINSPIRED,OPA,SHAP-CF,360,1779.6670693224994,26.00900701669218,6886.193974098,205.08653065600748,0.8803815228058325,1.4151237541655524,2.2317193990503656,15.934263516555944,10.400808332997258,163070.0,36900.0,0.1845,24690,24530,24530,1226
10,RECENT_BIOINSPIRED,OPA,Standard,360,1727.6953420753762,24.66492683483125,6611.893080247739,198.01503549483073,0.910998581410472,1.3920727063940075,2.151990248455576,15.844493241305484,10.359980541998084,200000.0,0.0,0.0,0,0,0,0
10,RECENT_BIOINSPIRED,SBOA,ACME-CF,360,2050.0802740440313,24.121443794827712,7218.703193521958,183.94065506397988,0.6749105354834161,1.382398216969138,2.2542161531396094,15.722014665738769,9.909924541498185,151640.0,48360.0,0.2418,21040,20948,20948,1077
10,RECENT_BIOINSPIRED,SBOA,IBREAKDOWN-CF,360,2115.5774622965496,25.327213370173354,7522.7589848170255,186.2609827902407,0.8463779962248373,1.4035813452465664,2.0635903622406535,15.724432068408007,10.194157375004579,162740.0,37260.0,0.1863,23578,23516,23516,2263
10,RECENT_BIOINSPIRED,SBOA,LIME-CF,360,2055.612045541196,24.9779761192367,7290.3878661236095,191.74214106822785,0.7856184989648366,1.3975572045887725,2.11066312274385,15.715908705541693,10.235736833499686,153920.0,46080.0,0.2304,21857,21770,21770,1698
10,RECENT_BIOINSPIRED,SBOA,SHAP-CF,360,2037.8585231726504,24.859736722766684,7174.364187330101,172.78413876910815,0.8291916943439145,1.395488705863408,2.069943681593221,15.784339761447093,10.16037272900212,162980.0,37020.0,0.1851,23301,23170,23170,2470
10,RECENT_BIOINSPIRED,SBOA,Standard,360,2196.8579333079783,24.110322506643854,7768.207904960248,180.46808014741822,0.9311710298192227,1.3821984912705365,1.9503279060368934,15.712419452883578,10.271022937002272,200000.0,0.0,0.0,0,0,0,0
20,ADAPTIVE_DE,L-SHADE,ACME-CF,360,2438.8021766698953,31.11025978405422,21855.615329259526,242.18214796458238,-1.2356173778968509,1.4929018684182267,4.878817037170812,97.51110727166075,38.24440389600204,945297.0,37326.0,0.037326,14158,14156,14153,2521
20,ADAPTIVE_DE,L-SHADE,IBREAKDOWN-CF,360,7463.155049248739,31.05637030720584,59082.98822918612,266.45079524736514,-1.1695083260021426,1.492150691655156,4.943375023315793,97.15483312129182,38.123748645994056,962950.0,27573.0,0.027573,14979,14978,14978,4070
20,ADAPTIVE_DE,L-SHADE,LIME-CF,360,5337.8934657424525,31.014604424668278,44209.540478478644,242.95476308496035,-1.1812125625052754,1.4915611599321261,4.933318229409739,97.00762996297466,38.27666385399789,949276.0,38412.0,0.038412,14570,14569,14569,3586
20,ADAPTIVE_DE,L-SHADE,SHAP-CF,360,4858.410422633763,33.786211916089314,26431.157619987946,242.95476343787192,-1.1658441125476682,1.5287389889149843,4.9444737624409,96.5398479718582,38.22821781250241,962118.5,28400.5,0.0284005,15045,15043,15042,3970
20,ADAPTIVE_DE,L-SHADE,Standard,360,46175.71682666545,43.932882266580975,170436.53577317836,266.45079410596765,-1.0281002024198416,1.639780811775734,5.087502986544756,96.18246623897855,38.09051862499473,1000000.0,0.0,0.0,0,0,0,0
