Benchmark,Dimension,Function,Algorithm,Variant,Run,SeedMode,BaseSeed,Final_Fit,Final_Err,ErrorTarget,TargetReached,FirstTargetFE,CompetitionFEterm,TerminationReason,Exec_Time_s,MaxFEs,TotalFEs,OptimizerFEs,ExplanationFEs,DirectionProbeFEs,CFValidationFEs,OracleFEs,ExplanationShareOfMaxFEs,ExplanationShareOfConsumedFEs,BudgetValid,BudgetExhausted,LastGlobalImprovementFE,LastOptimizerImprovementFE,LastMeaningfulOptimizerImprovementFE,BestOptimizerFit,LastMeaningfulOptimizerFit,OracleAttempts,OracleActivations,AppliedInterventions,Rescues,FailedInterventions,BudgetSkips,Oracle_Time_ms,TrajectorySnapshots,Final_Diversity,Final_Diversity_Norm,Canonical_Status,Machine_ID,Architecture,Platform,Python_Version,Processor,NumPy_Version
CEC2022,10,1,OPA,ACME-CF,1,paired,3617824432,313.01116685050516,13.011166850505164,1e-08,False,0,200000,max_fes_exhausted,2.425578249996761,200000,200000,151040,48960,0,0,48960,0.2448,0.2448,True,True,30441,27981,26239,313.0111668505052,313.0111690897572,64,64,64,2,62,0,604.3128699602676,0,1.1251231421348169e-17,2.8128074587813237e-22,research_adapter_verify_against_selected_OPA_paper,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,OPA,IBREAKDOWN-CF,1,paired,3617824432,313.01116685047367,13.011166850473671,1e-08,False,0,200000,max_fes_exhausted,2.537357916000474,200000,200000,163460,36540,0,0,36540,0.1827,0.1827,True,True,29821,26606,25736,313.0111668504737,313.0111670964817,71,71,71,3,68,0,473.5953769850312,0,2.5197456401000224e-16,6.299364005507831e-21,research_adapter_verify_against_selected_OPA_paper,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,OPA,LIME-CF,1,paired,3617824432,300.79494229635395,0.7949422963539519,1e-08,False,0,200000,max_fes_exhausted,2.4863887920000707,200000,200000,159680,40320,0,0,40320,0.2016,0.2016,True,True,88155,88155,86968,300.79494229635395,300.7949423014519,57,56,56,10,46,1,511.54641698667547,0,7.506413139016992e-16,1.8766032980482668e-20,research_adapter_verify_against_selected_OPA_paper,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,OPA,SHAP-CF,1,paired,3617824432,313.0111668505159,13.011166850515906,1e-08,False,0,200000,max_fes_exhausted,2.4075379580026492,200000,200000,165440,34560,0,0,34560,0.1728,0.1728,True,True,31883,29435,27837,313.01116685051596,313.01116990360174,70,69,69,2,67,1,431.53191501187393,0,4.9531980506434735e-16,1.2382995163856827e-20,research_adapter_verify_against_selected_OPA_paper,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,OPA,Standard,1,paired,3617824432,313.0111668504641,13.011166850464122,1e-08,False,0,200000,max_fes_exhausted,2.3813292919949163,200000,200000,200000,0,0,0,0,0.0,0.0,True,True,27577,27577,26362,313.0111668504641,313.0111670561491,0,0,0,0,0,0,0.0,0,7.284540086211073e-17,1.821134998813353e-21,research_adapter_verify_against_selected_OPA_paper,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,PSO,ACME-CF,1,paired,1037250708,300.0000000064503,6.450306955230189e-09,1e-08,True,18406,18406,target_reached,0.1065277910020086,200000,18406,17626,780,0,0,780,0.0039,0.0423774856025209,True,False,18406,18406,13533,300.0000000064503,300.00000173472216,1,1,1,1,0,0,4.833416998735629,0,0.0002904773493308,7.261933733272182e-09,reference_style,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,PSO,IBREAKDOWN-CF,1,paired,1037250708,300.00000000642814,6.428138021874474e-09,1e-08,True,18166,18166,target_reached,0.1046948340008384,200000,18166,17626,540,0,0,540,0.0027,0.0297258614995045,True,False,18166,18166,13533,300.00000000642814,300.00000173472216,1,1,1,1,0,0,3.3477079996373504,0,0.0003037832448556,7.594581121391329e-09,reference_style,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,PSO,LIME-CF,1,paired,1037250708,300.0000000063167,6.3167249209072915e-09,1e-08,True,18346,18346,target_reached,0.1069834590016398,200000,18346,17626,720,0,0,720,0.0036,0.0392456121225335,True,False,18346,18346,13533,300.0000000063167,300.00000173472216,1,1,1,1,0,0,4.578207997838035,0,0.0002901943939962,7.2548598499069516e-09,reference_style,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,PSO,SHAP-CF,1,paired,1037250708,300.00000000674777,6.747768566128798e-09,1e-08,True,18106,18106,target_reached,0.105040333000943,200000,18106,17626,480,0,0,480,0.0024,0.0265105489892853,True,False,18106,18106,13533,300.00000000674777,300.00000173472216,1,1,1,1,0,0,3.147000003082212,0,0.0003034827623135,7.5870690578387e-09,reference_style,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
CEC2022,10,1,PSO,Standard,1,paired,1037250708,300.00000000655797,6.557968390552561e-09,1e-08,True,17626,17626,target_reached,0.1018423749992507,200000,17626,17626,0,0,0,0,0.0,0.0,True,False,17626,17626,13533,300.00000000655797,300.00000173472216,0,0,0,0,0,0,0.0,0,0.0003035445003733,7.588612509333468e-09,reference_style,Mac-mini-de-Pablo.local,arm64,macOS-26.5-arm64-arm-64bit,"3.11.9 (v3.11.9:de54cf5be3, Apr  2 2024, 07:12:50) [Clang 13.0.0 (clang-1300.0.29.30)]",arm,1.26.0
