Algorithm,Variant,Feature,Events,MeanNormalizedImportance,MedianNormalizedImportance,IQRNormalizedImportance,UsefulAssociatedRate
L-SHADE,LIME-CF,pbest_rate,24613,0.25756493649638973,0.232122390184412,0.24928046178999658,0.23036606671271279
L-SHADE,LIME-CF,F,24613,0.2487729132752007,0.2219394263129982,0.24183278136525,0.23036606671271279
L-SHADE,LIME-CF,CR,24613,0.2480690689427017,0.22148379654867612,0.2407876657618762,0.23036606671271279
L-SHADE,LIME-CF,archive_rate,24613,0.2455930812857079,0.22094196084443105,0.23764922946120434,0.23036606671271279
L-SHADE,SHAP-CF,CR,25619,0.0035899036560330198,0.0,0.0,0.25664545844880754
L-SHADE,SHAP-CF,F,25619,0.008877879388844634,0.0,0.0,0.25664545844880754
L-SHADE,SHAP-CF,archive_rate,25619,0.0035976505706312206,0.0,0.0,0.25664545844880754
L-SHADE,SHAP-CF,pbest_rate,25619,0.005832376603469229,0.0,0.0,0.25664545844880754
OPA,ACME-CF,attack_weight,51994,0.01829424395005209,0.0,0.0,0.03663884294341655
OPA,ACME-CF,drive_weight,51994,0.03416441810408709,0.0,0.0,0.03663884294341655
OPA,ACME-CF,encircle_weight,51994,0.01995184061682219,0.0,0.0,0.03663884294341655
OPA,ACME-CF,explore_prob,51994,0.010906803172020512,0.0,0.0,0.03663884294341655
OPA,IBREAKDOWN-CF,attack_weight,54882,0.006488879318454137,0.0,0.0,0.03837323712692686
OPA,IBREAKDOWN-CF,drive_weight,54882,0.009437165905000615,0.0,0.0,0.03837323712692686
OPA,IBREAKDOWN-CF,encircle_weight,54882,0.014284180819697201,0.0,0.0,0.03837323712692686
OPA,IBREAKDOWN-CF,explore_prob,54882,0.00874608021390865,0.0,0.0,0.03837323712692686
OPA,LIME-CF,encircle_weight,52456,0.2531409823734373,0.22834976172516175,0.2437425404738565,0.03730745767881653
OPA,LIME-CF,attack_weight,52456,0.25013379205513897,0.22459283096909277,0.24234247906896322,0.03730745767881653
OPA,LIME-CF,drive_weight,52456,0.24879073471416457,0.222895208240142,0.2408993602717334,0.03730745767881653
OPA,LIME-CF,explore_prob,52456,0.2479344908572592,0.22206626190408596,0.24063662773121805,0.03730745767881653
OPA,SHAP-CF,attack_weight,54867,0.008041151147232813,0.0,0.0,0.03865711629941495
OPA,SHAP-CF,drive_weight,54867,0.011430689918423382,0.0,0.0,0.03865711629941495
OPA,SHAP-CF,encircle_weight,54867,0.0150317055488832,0.0,0.0,0.03865711629941495
OPA,SHAP-CF,explore_prob,54867,0.011134086206646382,0.0,0.0,0.03865711629941495
PSO,ACME-CF,c1,34053,3.2132047003814574e-05,0.0,0.0,0.1569612075294394
PSO,ACME-CF,c2,34053,4.9054156907192515e-05,0.0,0.0,0.1569612075294394
PSO,ACME-CF,vmax,34053,0.07178328944904606,0.0,0.0,0.1569612075294394
PSO,ACME-CF,w,34053,0.05781572873432158,0.0,0.0,0.1569612075294394
PSO,IBREAKDOWN-CF,c1,35871,3.176844643028041e-05,0.0,0.0,0.16010147472888964
PSO,IBREAKDOWN-CF,c2,35871,9.987706446385734e-05,0.0,0.0,0.16010147472888964
PSO,IBREAKDOWN-CF,vmax,35871,0.0077619400352406135,0.0,0.0,0.16010147472888964
PSO,IBREAKDOWN-CF,w,35871,0.010868088229338472,0.0,0.0,0.16010147472888964
PSO,LIME-CF,vmax,34686,0.26166767851443623,0.23496474168711584,0.2512529138484274,0.1513290664821542
PSO,LIME-CF,w,34686,0.25226852296018487,0.22751059103336407,0.24298808304070393,0.1513290664821542
PSO,LIME-CF,c2,34686,0.2443494467692329,0.21746035830982247,0.24042013801244158,0.1513290664821542
PSO,LIME-CF,c1,34686,0.241714351756146,0.21511873931168563,0.2378336336593685,0.1513290664821542
PSO,SHAP-CF,c1,35757,5.620707076352625e-05,0.0,0.0,0.16080767402186985
